order_id,customer_id,order_timestamp,promised_delivery_date,actual_delivery_date,warehouse_id,carrier,shipping_method,distance_km,weather_condition,traffic_index,item_count,package_weight_kg,is_fragile,customer_lat,customer_lon,warehouse_lat,warehouse_lon,order_value_usd
100000,1101.0,2024-01-01 05:00:00,2024-01-02 05:00:00,2024-01-04 05:00:00,wh_a,UPS,,934.5235010367171,rain,0.10975437042835387,6,3.3549607116366342,1,36.956598700811355,-103.61916322860621,45.43528372004107,-102.2469650322705,23.009111293408115
100001,1434.0,2024-01-02T16:00:00Z,2024-01-03 16:00:00,2024-01-05 16:00:00,WH_A,FedEx,standard,705.4158163665252,snow,0.1896526042138555,0,5.988168935483516,1,46.45268230290273,-109.67578568444692,49.94696347338312,-110.35048262909356,7.178656596113651
100002,1859.0,2024-01-01 14:00:00 EST,2024-01-04 14:00:00,2024-01-06 14:00:00,WH_C,UPS,expedited,585.7615356110348,RAIN,0.3365643931560403,8,3.7325296128147,0,29.043436806899756,-110.00196788176271,36.17608264490944,-83.34556510687898,86.57316520103558
100003,1269.0,2024-01-07 14:00:00 EST,2024-01-09 14:00:00,2024-01-13 14:00:00,wh_a,DHL,expedited,556.5459142281263,sunny,0.2625731198304747,2,4.179730129598313,0,43.926991581626424,-104.35272644182965,34.33781017666123,-79.73857902951639,152.7438537418539
100004,1105.0,2024-01-02T07:00:00Z,2024-01-04 07:00:00,2024-01-05 07:00:00,WH_C,DHL,expedited,665.3530107071417,Sunny,0.4939711260481571,3,6.398615795123494,0,48.31381441780009,-111.58204492604445,40.175902470121656,-105.33599397191834,8.6383696004571
100005,1070.0,2024-01-04 06:00:00 EST,2024-01-06 06:00:00,2024-01-07 06:00:00,WH_C,UPS,,466.960527265193,sunny,0.32339097174580345,6,6.083635491774046,,43.53494840404194,-124.81501782029613,42.077061752258686,-115.5466048874869,20.0015214541567
100006,1699.0,2024-01-02T14:00:00Z,2024-01-03 14:00:00,2024-01-03 14:00:00,WH_C,FedEx,,376.6755146964548,RAIN,0.07010162667431936,4,7.323821830059535,0,35.14843322606739,-115.50726689119014,42.61121310238805,-97.92654825837715,9.757686795852264
100007,1019.0,2024-01-01T02:00:00Z,2024-01-06 02:00:00,2024-01-04 02:00:00,WH_A,DHL,standard,721.4581877774814,snow,0.31189045607593546,4,2.110365177349574,0,30.761394173607844,-76.4583719940122,36.839572491057254,-99.23237183110007,100.56083086270053
100008,1613.0,2024-01-03T00:00:00Z,2024-01-04 00:00:00,2024-01-03 00:00:00,WH_A,LocalCarrier,same_day,432.3814153513031,,0.3229031566604511,0,5.889918382243138,,27.459185417454744,-120.83932714676686,33.30731954717852,-85.10285793576656,8.284053729781295
100009,1120.0,2024-01-07T01:00:00Z,2024-01-12 01:00:00,,WH-B,FedEx,expedited,143.42077925970966,Sunny,0.0659673043344329,1,6.438571517016241,,41.059242443790296,-102.28488779333085,45.548118679546164,-71.47483302209855,9.793876396812298
100010,1465.0,2024-01-02T20:00:00Z,2024-01-06 20:00:00,,WH-B,LocalCarrier,expedited,932.9900030389365,,0.1676958116584952,4,4.515602428386099,1,28.571357890038577,-99.89316802089449,48.95650771029527,-95.77947924825808,30.67525204633354
100011,1213.0,2024-01-04T10:00:00Z,2024-01-05 10:00:00,2024-01-10 10:00:00,WH_C,FedEx,standard,60.9781885144248,rain,0.0904723847204221,1,9.764013908109586,,45.957600390718085,-82.20153199141856,46.599546332606394,-84.75543912916245,31.503252895504847
100012,1329.0,2024-01-05 07:00:00,2024-01-06 07:00:00,2024-01-08 07:00:00,WH-B,UPS,expedited,955.4968473701942,Sunny,0.1399080688579582,0,3.2707163079334443,0,49.0184335673861,-111.10755123795003,42.05885566402337,-105.71811901595058,81.53230066284276
100013,1457.0,2024-01-01 12:00:00,2024-01-02 12:00:00,2023-12-31 12:00:00,WH_C,DHL,,651.9365739523288,sunny,0.6749864139132943,9,4.887599052116159,,28.39472945607281,-107.96970164033124,34.00375292752898,-92.0233891325749,3.2715730778195957
100014,1086.0,2024-01-01 11:00:00 EST,2024-01-03 11:00:00,,WH_A,FedEx,,209.25478017820205,,0.04070416656424138,2,6.461887357539946,1,34.40132378019666,-124.21482231637715,40.56207814457758,-118.6569637309184,95.54076623334579
100015,1371.0,2024-01-02 21:00:00 EST,2024-01-04 21:00:00,,WH_A,FedEx,expedited,507.2763661660974,RAIN,0.30023413990875664,0,6.726998577767523,0,48.43180263673173,-75.34431617421777,27.529001587622894,-80.17862540940223,53.05321380767116
100016,1098.0,2024-01-02 01:00:00 EST,2024-01-07 01:00:00,2024-01-08 01:00:00,WH_A,FedEx,expedited,371.3409797908197,rain,0.06485435128851269,9,4.509262893138815,1,36.767614554497534,-87.29436833725185,38.34782431980068,-106.06216739759932,19.69056313417775
100017,1870.0,2024-01-04 15:00:00 EST,2024-01-09 15:00:00,2024-01-08 15:00:00,wh_a,DHL,,742.3177185065144,Sunny,0.05296464971008359,7,4.505624025593076,1,38.38540140915338,-110.543457418131,44.530430010576694,-120.59772588522696,105.94289625760231
